,Date,In reality,Link,PolitiFact source,Score,Source,Statement
474,"on Monday, April 3rd, 2017",Conspiracy theories about counsel's death live on,/punditfact/statements/2017/apr/03/blog-posting/vince-fosters-death-has-not-been-ruled-homicide-af/,— PunditFact,Pants on Fire!,Bloggers,"""Autopsy results from Vince Foster’s exhumed body — Cause of death to be changed!"""
475,"on Sunday, April 2nd, 2017",A false story about former Fox News host's big move,/punditfact/statements/2017/apr/02/blog-posting/report-megyn-kelly-has-been-fired-nbc-fake-news/,— PunditFact,Pants on Fire!,Bloggers,"""NBC just fired Megyn Kelly before her new show begins."""
476,"on Sunday, April 2nd, 2017",Three-year-old joke still blowing smoke,/punditfact/statements/2017/apr/02/empiresportsco/fake-story-colorado-rockies-will-sell-pot-brownies/,— PunditFact,Pants on Fire!,EmpireSports.co,"""Colorado Rockies baseball team to sell marijuana brownies at their concession stands."""
477,"on Friday, March 31st, 2017",An independent investigation debunks this report,/punditfact/statements/2017/mar/31/blog-posting/fake-news-post-wrongly-says-ken-starr-died-plane-c/,— PunditFact,Pants on Fire!,Bloggers,"""Ken Starr’s plane just disappeared on his way to D.C. to testify against Hillary (Clinton)."""
478,"on Sunday, March 26th, 2017",Death to death spiral claims,/punditfact/statements/2017/mar/26/hugh-hewitt/obamacare-death-spiral/,— PunditFact,False,Hugh Hewitt,"Obamacare ""is in a death spiral."""
479,"on Thursday, March 23rd, 2017","Drop it like it's hot, because this one's fake",/punditfact/statements/2017/mar/23/blog-posting/snoop-dogg-wasnt-arrested-over-comments-about-shoo/,— PunditFact,Pants on Fire!,Bloggers,"Says ""Snoop Dogg arrested for conspiracy after talking about his ‘murder Trump’ video."""
480,"on Thursday, March 23rd, 2017",Another accusation about false pension,/punditfact/statements/2017/mar/23/blog-posting/former-first-grandma-marian-robinson-caught-anothe/,— PunditFact,Pants on Fire!,Bloggers,"Says ""(Barack) Obama’s mother-in-law charged with larceny and fraud."""
481,"on Tuesday, March 21st, 2017",Made-up details from a real forum,/punditfact/statements/2017/mar/21/blog-posting/fake-quote-tom-price-did-not-tell-cancer-patients-/,— PunditFact,Pants on Fire!,Bloggers,"Says U.S. Health and Human Services Secretary Tom Price said, ""It’s better for our budget if cancer patients die more quickly."""
482,"on Monday, March 13th, 2017",Nothing to see here,/punditfact/statements/2017/mar/13/blog-posting/story-missouri-girl-accused-trying-eat-toddler-she/,— PunditFact,Pants on Fire!,Bloggers,"""Babysitter on crystal meth eats 3-month-old baby."""
483,"on Monday, March 13th, 2017","You would've heard on TV, right?",/punditfact/statements/2017/mar/13/blog-posting/it-trap-story-fbi-issued-warrant-obama-trump-wiret/,— PunditFact,Pants on Fire!,Bloggers,"""FBI issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap."""
484,"on Thursday, March 9th, 2017",A picture that's far from perfect,/punditfact/statements/2017/mar/09/blog-posting/image-obama-handcuffs-wiretapping-trump-fake-photo/,— PunditFact,Pants on Fire!,Bloggers,"A photo shows ""Obama being dragged before a judge in handcuffs for wiretapping Trump."""
485,"on Tuesday, March 7th, 2017","Some slight exaggeration, but largely accurate",/punditfact/statements/2017/mar/07/social-media/social-media-post-pending-gop-bills-largely-accura/,— PunditFact,Mostly True,Social Media,"""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House."
486,"on Tuesday, March 7th, 2017",A fake story that ended a prank website,/punditfact/statements/2017/mar/07/undergroundnewsreportcom/whoopi-golberg-quote-about-navy-seal-widow-made/,— PunditFact,Pants on Fire!,UndergroundNewsReport.com,"Says Whoopi Goldberg said the widow of a Navy SEAL was ""looking for attention."""
487,"on Monday, March 6th, 2017",Author says he was trying to fool people,/punditfact/statements/2017/mar/06/undergroundnewsreportcom/report-man-pardoned-obama-being-arrested-murder-fa/,— PunditFact,Pants on Fire!,UndergroundNewsReport.com,"""Man pardoned by Obama three months ago arrested for murder."""
488,"on Monday, March 6th, 2017",A fake story baked up by a joke site,/punditfact/statements/2017/mar/06/blog-posting/bogus-claim-jimmy-carter-credits-marijuana-curing-/,— PunditFact,Pants on Fire!,Bloggers,"Says former president Jimmy Carter said, ""Medical marijuana cured my cancer."""
489,"on Monday, March 6th, 2017",This post carries misinformation like the plague,/punditfact/statements/2017/mar/06/blog-posting/rats-rumors-tons-rodent-meat-passed-chicken-wings-/,— PunditFact,Pants on Fire!,Bloggers,"""300,000 pounds of rat meat sold as chicken wings across America."""
490,"on Friday, March 3rd, 2017",Read the terms before believing fake news,/punditfact/statements/2017/mar/03/theseattletribunecom/reports-donald-trumps-unsecured-android-phone-root/,— PunditFact,Pants on Fire!,TheSeattleTribune.com,"""Trump’s Android device believed to be source of recent White House leaks."""
491,"on Thursday, March 2nd, 2017",Fake quotes came from a joke site,/punditfact/statements/2017/mar/02/blog-posting/trump-adviser-steve-bannon-did-not-say-its-ok-beat/,— PunditFact,Pants on Fire!,Bloggers,"Says White House adviser Steve Bannon said, ""Nobody can blame you for beating your wife if it’s out of love."""
492,"on Thursday, March 2nd, 2017",A made-up story returns from 2013,/punditfact/statements/2017/mar/02/blackinsurancenewscom/claims-former-nra-president-talked-about-owning-co/,— PunditFact,Pants on Fire!,BlackInsuranceNews.com,"Says former NRA president Jim Porter said, ""It’s only a matter of time before we can own colored people again."""
